StockCode,Description,TotalRevenue,TotalCustomers,TotalSalesQuantity,TotalReturnQuantity,TotalOrders,TotalMonths,TotalReturnValue,TotalNetRevenue,AveragePrice,ReturnRate,QuantityPerOrder,RevenuePerOrder,SalesDays,SalesVelocity,KMeansClusters
10002,INFLATABLE POLITICAL GLOBE ,699.55,40,823,0,49,5,0.0,699.55,0.85,0.0,17.0,14.28,139,5.920863309352518,2
10080,GROOVY CACTUS INFLATABLE,114.41,19,291,0,21,7,0.0,114.41,0.41190476190476194,0.0,14.0,5.45,268,1.085820895522388,2
10120,DOGGY RUBBER,40.32,25,192,0,29,9,0.0,40.32,0.21,0.0,7.0,1.39,367,0.5231607629427792,2
10125,MINI FUNKY DESIGN TAPES,929.45,49,1225,0,61,11,0.0,929.45,0.7817460317460317,0.0,20.0,15.24,373,3.284182305630027,2
10133,COLOURING PENCILS BROWN TUBE,1138.99,101,2373,10,123,10,4.2,1134.79,0.5283739837398373,0.00419639110365086,19.0,9.23,280,8.510714285714286,3
10135,COLOURING PENCILS BROWN TUBE,1784.19,92,1936,1,118,12,1.25,1782.94,1.19725,0.0005162622612287042,16.0,15.11,371,5.2210242587601075,2
11001,ASSTD DESIGN RACING CAR PEN,1953.0,45,1252,185,67,12,237.04999999999998,1715.95,1.8340579710144926,0.12874043145441894,21.0,25.61,366,3.9262295081967213,3
15030,FAN BLACK FRAME ,41.47,11,143,0,12,8,0.0,41.47,0.29,0.0,12.0,3.46,257,0.556420233463035,2
15034,PAPER POCKET TRAVELING FAN ,697.0600000000001,70,6419,1385,95,12,108.29000000000002,588.7700000000001,0.13557894736842105,0.1774730907227063,82.0,6.2,359,21.738161559888578,3
15036,ASSORTED COLOURS SILK FAN,16044.44,194,21876,744,328,12,505.68,15538.76,0.8045288753799392,0.03289124668435013,69.0,47.37,366,61.80327868852459,3
15039,SANDALWOOD FAN,1132.3,58,1558,26,73,11,22.099999999999998,1110.2,0.8368493150684931,0.016414141414141416,22.0,15.21,369,4.2926829268292686,3
